scenario,part,trial,seed,message,freq_hz,dt_s,reported_snr_db
S5,0,1949,1738865418,59632D5FA6832CF3EB,222,2.800,-27
S5,0,1951,1781970467,<RDCTG53> <RDCTG31> OI97,972,-1.200,-28
S5,0,1961,2010887385,CQ HTTP <RDCTG188> R AF89,1028,-1.520,-29
S5,0,1967,1664447608,MDUGKGIWNKA <...>,1231,2.720,-26
S5,0,1981,1868418106,AY+ZPPK4T9UCW,1406,1.120,-26
S5,0,1982,62385934,K90 AU/R <RDCTG15> R PE68,2438,-1.120,-27
S5,0,1982,62385934,<RDCTG278>/R <RDCTG223>/R R EE94,2019,-1.120,-27
S5,0,198,1766946940,CQ <...>,2538,-0.720,-28
S5,0,226,106826517,Z98BOU/R <RDCTG323> R EP10,2066,2.720,-26
S5,0,227,1367658933,<RDCTG314> <RDCTG129>/P IM20,1916,-1.520,-27
S5,0,237,1237269653,<RDCTG41> <RDCTG238>/R R HN80,347,3.040,-26
S5,0,241,776862242,<RDCTG165>/P Y55YUO/P PQ74,2509,-1.120,-28
S5,0,251,176206294,CQ 58/CFERY7XB,1197,-0.960,-27
S5,0,256,681967637,5EY3291LTQQ <...>,763,-0.320,-27
S5,0,267,139036762,<RDCTG138> A55DJV/R R IO73,563,1.280,-27
S5,0,281,2136780782,<RDCTG349> <RDCTG64> R HB70,1534,-0.720,-26
S5,0,291,2099056751,46E672C6A14EBA2163,288,-1.120,-28
S5,0,291,2099056751,<...> C6T5 D50VJQ RR73,1538,-1.360,-27
S5,0,294,51220613,<...> 4QTBTW19M35,1425,3.120,-26
S5,0,297,1689154468,<RDCTG334>/P <RDCTG56>/P HF36,2425,-1.360,-28
S5,0,301,124653943,M/YH VK351B <...> RRR,509,-1.200,-27
S5,0,319,1522189422,<...> <RDCTG34>/R PF06,1041,3.040,-26
S5,0,320,1374792709,<RDCTG45> <RDCTG250> R IO73,1597,0.720,-26
S5,0,350,590252297,<RDCTG92> 950FUV JC13,1028,-0.720,-28
S5,0,356,851106461,CQ <...>,403,-1.600,-27
S5,0,357,1748000578,HI9GV3DRTT <...> 73,2875,-0.800,-27
S5,0,359,985966773,<RDCTG152>/P 9F8 NV MB80,2450,-1.280,-28
S5,0,371,247929837,CQ TZFT <RDCTG183>/P R FA71,509,-1.440,-27
S5,0,373,1731692814,<RDCTG169> <...> R OO85,2281,-0.880,-27
S5,0,385,223223049,CQ SXLE U32LPK R EO13,1009,-1.520,-28
S5,0,395,191763828,CQ W6/SRU41F/A,2447,-0.240,-28
S5,0,398,646096731,CQ EHCN <RDCTG17> R LR40,2022,-1.520,-28
S5,0,398,646096731,CQ QTWU <RDCTG161> R FA37,2103,-1.520,-28
S5,0,404,2074701463,<RDCTG316>/R 343GHV/R ML50,884,-0.960,-28
S5,0,410,1398307015,QT8JD3R5LO2 <...>,744,-1.360,-28
S5,0,422,806115258,617DPJ/P <RDCTG159>/P ID87,1391,-0.160,-29
S5,0,427,2077418503,CQ 5Q0/UNHELYZ,1972,2.560,-26
S5,0,433,1227717498,<RDCTG71> <RDCTG119>/R MM51,2453,-0.240,-27
S5,0,440,1273808213,<RDCTG338>/R <RDCTG262> R BO74,2328,-1.520,-27
S5,0,461,691299082,<RDCTG300>/R <RDCTG86> ON44,2609,-0.960,-28
S5,0,472,2115772265,H74ZCM/P <RDCTG127> R KL44,1025,2.000,-26
S5,0,476,1854429528,CQ 6GDA8JFJTFM,1988,-0.800,-28
S5,0,481,2137970100,Q7LDS <RDCTG260> KN11,2216,-1.280,-27
S5,0,486,912352577,<RDCTG60> K12RIM/P R AO34,297,-1.280,-28
S5,0,498,806746143,<RDCTG157>/P <RDCTG20>/P R MC68,1625,-0.800,-28
S5,0,503,519202797,<...> Y15NQRNP8TN RR73,1894,-0.880,-27
S5,0,507,1872683113,CQ BCND <RDCTG213>/P CF39,1391,-1.600,-28
S5,0,514,1614207028,O86HHM L23LFL CJ26,1000,-0.320,-27
S5,0,526,791949542,CQ AXIG H75BOE/P R HK50,1831,-1.520,-27
S5,0,549,2065768214,CQ <...>,475,-0.880,-28
S5,0,560,808758784,<...> KI1H8FC8G53,1350,-1.360,-28
S5,0,570,1647053156,<RDCTG304>/P <RDCTG211> R DM36,1369,-1.120,-26
S5,0,578,1342995436,P7P03AKE9E3 <...>,378,-1.520,-27
S5,0,588,806784879,.ZNH46EZZZ-.U,2141,-1.360,-27
S5,0,634,1820904045,<RDCTG242> <RDCTG308> R KH85,1866,-1.200,-28
S5,0,638,1499254902,CQ SKGHPJXZ73K,1300,1.680,-26
S5,0,648,1790092620,CQ <...>,2713,-1.520,-28
S5,0,670,882260031,W87FQD P82OZE/P R GK33,2269,-0.880,-28
S5,0,671,1120396849,?3NZQW/GX?GMD,1656,-0.800,-28
S5,0,691,88792446,CQ GMBC <RDCTG124> R EH20,1478,-1.600,-28
S5,0,699,799007902,814PKQ T07FFR R NB78,2791,-0.480,-28
S5,0,703,740195428,386TVA/R <RDCTG325>/R BM75,334,2.240,-27
S5,0,703,740195428,7PYSK/UU?CX93,228,2.080,-26
S5,0,707,80178716,CQ T4DI2XJLA4J,1284,-0.960,-29
S5,0,708,1007574449,<...> <RDCTG348>/R R BA26,1009,-1.440,-28
S5,0,709,540573267,<RDCTG76> R96HON/P NF05,963,-0.960,-28
S5,0,713,1030059857,<RDCTG24> <RDCTG168> R CH93,2734,-1.040,-28
S5,0,718,344626804,<RDCTG344>/P L98PGV/P R DM24,756,2.080,-26
S5,0,723,475396506,<...> Z0UHC9WAAXE RR73,491,-0.240,-28
S5,0,727,31311129,3XU9ITD/R <RDCTG158> CR24,1247,-0.800,-28
S5,0,729,2018760905,CQ <...>,1153,-1.440,-27
S5,0,729,2018760905,<RDCTG181>/R J36FXZ PR02,2072,3.120,-27
S5,0,737,1597792051,115NSX W17PPW/P CG04,1359,-1.360,-28
S5,0,742,1012282536,TMK?X?SJD7+2D,1897,-0.880,-26
S5,0,755,1443916525,<RDCTG251>/R <RDCTG186> AA98,975,3.120,-26
S5,0,772,725464255,<...> J34IRK/P R KR16,2063,-1.440,-28
S5,0,778,787845293,181SZO/R <RDCTG16> EO42,2581,-0.640,-28
S5,0,785,511750821,<...> 92SW0ATRK9S,828,-1.200,-30
S5,0,798,1475588372,CQ LPRX H96BIM/R R HL81,647,-1.600,-27
S5,0,801,2125807441,<RDCTG74> <RDCTG247> R CD38,2941,-0.720,-27
S5,0,812,1423249389,G64EV51G9QP <...>,269,-1.040,-27
S5,0,829,976653809,<RDCTG137> 3XF8SAA R KA16,2556,3.120,-26
S5,0,862,1689548918,CQ <...>,1619,-0.800,-29
S5,0,865,1940946070,<RDCTG346>/R <RDCTG235> HR84,797,0.720,-26
S5,0,883,1450912100,SAF5NIHCYDU <...> RR73,1700,-1.120,-26
S5,0,884,258710644,113WSI <RDCTG312> CD48,900,-1.040,-28
S5,0,892,1454912063,<...> TXSW0 O EKA 73,1222,-1.360,-28
S5,0,895,93158576,CQ TE0638RBN N,2897,3.120,-26
S5,0,910,275038139,<RDCTG219> K29KCO/P HF49,2325,-1.040,-29
S5,0,911,1540303733,<RDCTG146> <RDCTG330>/R QG30,2703,1.200,-25
S5,0,929,1974554719,<RDCTG01>/R Z23KF/R R AL30,1503,-0.400,-28
S5,0,949,14435390,<RDCTG42>/R <RDCTG101> R KD44,1078,-1.200,-27
S5,0,960,1184580132,Y66RNN/R <RDCTG187>/R ED90,2497,3.120,-26
S5,0,972,510558437,BLMJM1WVES6 <...> RRR,209,-1.200,-27
S5,0,972,510558437,<RDCTG37>/P <...> R LM64,2544,-0.800,-27
S5,0,979,1625481724,<RDCTG243> <RDCTG313> R OL23,1953,-1.600,-28
S5,0,997,204729349,620IJS/P <RDCTG217> R KC01,1766,2.480,-27
S5,1,20,783127692,<RDCTG337>/R <RDCTG274>/R MR64,1428,-1.120,-26
S5,1,20,783127692,CQ KGZ 229NQX/P R JM77,619,-1.600,-28
S5,1,27,336917293,<RDCTG84>/P <RDCTG06> B EN77,2231,-0.960,-28
S5,1,34,264284341,<RDCTG191> 512BIL R NG14,863,-1.280,-29
S5,1,41,1560381157,<RDCTG61>/R V67UGK R HI41,1013,3.040,-26
S5,1,48,683044550,L16CRO G66JSU CG40,1716,-1.120,-28
S5,1,51,978485698,H44ZQQ/R 220SQY/R BL83,2366,-1.520,-27
S5,1,60,1951665,2B450B5824D2D74029,431,-0.880,-28
S5,1,70,258901052,<...> 1QVQ58778RC,1078,-1.440,-27
S5,1,86,218490133,O88DYU <RDCTG136>/R R KO53,1838,2.960,-27
S5,1,92,426897843,CQ NEJ7E88MD22,944,2.000,-27
S5,1,97,482998566,<RDCTG343> 334VCC KE11,981,-0.720,-28
S5,1,1000,1818442151,CQ 8HZPULDBF2,1163,-0.880,-28
S5,1,1005,151209388,<RDCTG239> <RDCTG162> R JO18,666,3.040,-27
S5,1,1016,2133632966,<RDCTG173> <RDCTG14>/P R HD56,1769,-1.360,-28
S5,1,1030,742416077,3HRV4S2  CK-T,1763,-1.200,-28
S5,1,1047,367734170,<RDCTG268> <RDCTG203> M/P BR80,2494,2.640,-26
S5,1,1054,1401068228,<RDCTG87> <RDCTG230>/P R JP85,1894,-0.160,-28
S5,1,1069,1334886037,IOF9LMRO0Z7 <...> RRR,447,-0.960,-27
S5,1,1073,687253101,00A35DB9D8CD5198AA,281,-1.440,-29
S5,1,1076,130909245,<RDCTG236> T69QZR/R R RH67,2009,-1.040,-28
S5,1,1077,123928230,<RDCTG339>/R X82CQY MM17,972,-1.040,-27
S5,1,1106,226528804,<RDCTG160> W/P E44GNF BA84,309,2.880,-26
S5,1,1119,666110403,CQ K KK2AUH5DE,2359,-1.360,-27
S5,1,1124,522230267,G A8S1Y4GKNXT,1303,2.720,-27
S5,1,1140,208440094,<RDCTG333> <RDCTG27>/R OB73,1713,2.560,-26
S5,1,1149,462416162,<RDCTG08>/P <RDCTG197> JB00,1850,2.800,-27
S5,1,1167,1025793766,053A5DAD1CA8826A37,1322,-0.880,-27
S5,1,1169,566234661,<RDCTG09> <RDCTG263> AM60,334,2.880,-27
S5,1,1182,1574414791,CQ I79XORZWQX1,1719,-1.360,-28
S5,1,1184,301256952,<RDCTG283> N/R <RDCTG357>/R HI20,747,-0.800,-28
S5,1,1185,1269846185,<RDCTG122> <RDCTG221>/R AB83,2894,1.520,-28
S5,1,1191,2103176501,0009EBA11117125AD6,1422,-1.600,-27
S5,1,1201,1169745730,<RDCTG297>/R <RDCTG102> R PI12,2291,-0.880,-27
S5,1,1209,2012615307,<...> FMPSFF3LSS3 RRR,2525,-0.880,-27
S5,1,120,793106652,<RDCTG49>/R <RDCTG208> R LQ27,1178,-1.040,-27
S5,1,1211,1914978139,CQ ZA5KNM3W8HN,1125,-1.040,-28
S5,1,1231,193852146,CQ EUQY <RDCTG40>/R R KG33,1425,-1.520,-28
S5,1,1231,193852146,<RDCTG277> <RDCTG327>/P +<6,2153,-0.880,-27
S5,1,1232,199008595,<...> J3L1/RM7CK6 RR73,878,2.000,-26
S5,1,1235,350662640,<...> LMZP0VELHAX,550,-1.200,-27
S5,1,1246,378756224,<RDCTG246>/R <RDCTG189>/R NC26,1966,-0.880,-26
S5,1,1261,515474318,<RDCTG201> <RDCTG68> R LN47,1100,-1.040,-27
S5,1,1262,359889653,<RDCTG324>/R <RDCTG108> NF37,2778,2.560,-26
S5,1,1267,658213231,<RDCTG88>/P <RDCTG215> KL59,228,-1.040,-27
S5,1,1268,1396743950,<RDCTG329>/P E85FBB/P EB23,584,-0.800,-27
S5,1,1292,1256594922,<RDCTG288> 222KFV AO14,1175,-0.880,-29
S5,1,1295,531966,<RDCTG80>/P P78XYB/P KQ52,2116,-1.200,-29
S5,1,1319,1391230680,<RDCTG39>/R <RDCTG294> AN03,300,-1.040,-28
S5,1,1319,1391230680,267LHY <RDCTG241>/R FJ14,2525,-0.400,-28
S5,1,1320,851623244,<RDCTG296>/P <RDCTG172> J/P EL70,1591,-1.040,-29
S5,1,1327,2004385652,<...> <RDCTG18>/P R HI23,2650,-1.360,-28
S5,1,135,1366890650,L52SKQ <RDCTG290> R LO40,559,-0.880,-27
S5,1,1374,8494521,06M5Z9ABCTJ <...>,706,-0.880,-27
S5,1,1376,769961532,<RDCTG202> <RDCTG320> LG87,1872,3.120,-27
S5,1,1394,216597465,/CG.JO-EX9?PK,1481,-1.440,-28
S5,1,1402,1608418051,0E830FD54C0414E9CC,681,-1.200,-29
S5,1,1410,991108060,<...> ZEVVGBOD39R,2941,-1.520,-28
S5,1,1411,505344313,Q7ZCQ 380GZY NE50,1463,2.640,-27
S5,1,1428,637030279,<RDCTG287> <RDCTG94> R RR73,2322,-0.240,-27
S5,1,1448,586480457,3P3XESG9NE1 <...>,263,-1.200,-27
S5,1,1464,1650274785,<RDCTG222> <RDCTG156> EE66,1869,-1.120,-27
S5,1,1520,16078408,<RDCTG322> <RDCTG253>/P CN88,1119,2.880,-26
S5,1,1535,1313388036,L9WIRLE5IQ9 <...> RRR,275,-1.600,-28
S5,1,1545,1491307539,<RDCTG345>/P <RDCTG125>/P +H5,1350,-0.080,-28
S5,1,1546,553964523,<...> <RDCTG21>/R PO95,2088,-1.440,-27
S5,1,1550,100882028,197HRX/P <RDCTG195> MA60,738,-1.200,-27
S5,1,1553,1955797631,1G6 OY K76ALA KK62,506,-1.200,-28
S5,1,156,1840466518,CQ SAGW <RDCTG19> R KE12,2350,-1.600,-27
S5,1,1572,384290406,4UNEGLD204N <...>,1200,-0.560,-29
S5,1,1577,333982551,<...> O/<RDCTG116> FB RRR,2553,-0.640,-27
