scenario,part,trial,seed,n_decodes
S5,0,1355,1035881548,0
S5,0,1356,1411595630,0
S5,0,1357,1020645520,0
S5,0,1358,281289836,2
S5,0,1359,509030265,0
S5,0,135,59186981,0
S5,0,1360,613130224,0
S5,0,1361,802070123,0
S5,0,1362,1104135513,0
S5,0,1363,1745815844,0
S5,0,1364,238759830,1
S5,0,1365,565996394,0
S5,0,1366,1163079307,0
S5,0,1367,185409643,0
S5,0,1368,1730144498,0
S5,0,1369,292810803,0
S5,0,136,836517564,0
S5,0,1370,1628132272,0
S5,0,1371,404214401,0
S5,0,1372,1651186111,0
S5,0,1373,452287351,0
S5,0,1374,1328854602,0
S5,0,1375,1525827238,0
S5,0,1376,27842176,0
S5,0,1377,525036067,1
S5,0,1378,1475685277,0
S5,0,1379,519314062,0
S5,0,137,812134787,0
S5,0,1380,1991405893,0
S5,0,1381,1521185052,0
S5,0,1382,551288370,0
S5,0,1383,1381192392,0
S5,0,1384,1604782164,0
S5,0,1385,379239844,1
S5,0,1386,1662829564,0
S5,0,1387,191477879,0
S5,0,1388,220363154,0
S5,0,1389,456652248,0
S5,0,138,422764025,0
S5,0,1390,1335154054,0
S5,0,1391,468732728,0
S5,0,1392,402888565,0
S5,0,1393,99643779,0
S5,0,1394,1371352932,0
S5,0,1395,1339454793,0
S5,0,1396,310179343,0
S5,0,1397,925186560,0
S5,0,1398,1467871913,1
S5,0,1399,1822531998,0
S5,0,139,1781836979,0
S5,0,1400,999661734,0
S5,0,1401,1546134766,0
S5,0,1402,615153788,0
S5,0,1403,709034216,0
S5,0,1404,382271274,1
S5,0,1405,1762405089,0
S5,0,1406,557825321,0
S5,0,1407,2066617164,0
S5,0,1408,1715217511,0
S5,0,1409,234096248,0
S5,0,140,1990880430,0
S5,0,1410,440229305,1
S5,0,1411,529717744,0
S5,0,1412,933427848,0
S5,0,1413,158591435,0
S5,0,1414,1164559812,0
S5,0,1415,83775386,0
S5,0,1416,175550356,1
S5,0,1417,1040517241,0
S5,0,1418,1972905527,0
S5,0,1419,1969570194,0
S5,0,141,1575870615,0
S5,0,1420,156640053,0
S5,0,1421,1403862416,0
S5,0,1422,962171323,0
S5,0,1423,1507528521,1
S5,0,1424,12612801,0
S5,0,1425,479346316,0
S5,0,1426,1527117206,0
S5,0,1427,1886441368,0
S5,0,1428,860137723,0
S5,0,1429,1711654820,1
S5,0,142,1951229221,0
S5,0,1430,429138231,0
S5,0,1431,835196743,0
S5,0,1432,1654266881,0
S5,0,1433,753025038,0
S5,0,1434,1851664658,0
S5,0,1435,464115586,0
S5,0,1436,341075199,0
S5,0,1437,116314437,0
S5,0,1438,1440116019,0
S5,0,1439,1470993919,0
S5,0,143,604425247,1
S5,0,1440,1073040926,0
S5,0,1441,189035132,0
S5,0,1442,773673816,0
S5,0,1443,1833933224,0
S5,0,1444,1529151997,0
S5,0,1445,1927001875,0
S5,0,1446,51877034,1
S5,0,1447,1053245608,0
S5,0,1448,442645980,0
