scenario,part,trial,seed,n_decodes
S1,3,33,89593760,1
S1,3,34,209401696,2
S1,3,35,1132703340,1
S1,3,36,831475383,2
S1,3,37,602735978,1
S1,3,38,31405793,2
S1,3,39,1128603203,1
S1,3,40,1863582663,1
S1,3,41,1511008592,1
S1,3,42,371720481,1
S1,3,43,65391605,1
S1,3,44,91490671,1
S1,3,45,566456488,1
S1,3,46,812591571,1
S1,3,47,1207118091,2
S1,3,48,1298067784,1
S1,3,49,85277027,1
S1,3,50,228706741,1
S1,3,51,1160564141,1
S1,3,52,829221323,2
S1,3,53,1082671229,2
S1,3,54,605255709,2
S1,3,55,1044543611,1
S1,3,56,35818518,1
S1,3,57,1759015576,1
S1,3,58,2030756186,1
S1,3,59,1139091002,1
S1,3,60,1638943131,3
S1,3,61,1704663373,1
S1,3,62,1677923834,1
S1,3,63,1011446690,2
S1,3,64,259425802,1
S1,3,65,1136602792,2
S1,3,66,1578999003,2
S1,3,67,1280045982,1
S1,3,68,369402693,1
S1,3,69,32365741,1
S1,3,70,387754273,2
S1,3,71,658145162,1
S1,3,72,1923662147,1
S1,3,73,1688037925,1
S1,3,74,965116484,1
S1,3,75,1519789737,1
S1,3,76,469142076,2
S1,3,77,839823929,1
S1,3,78,363434637,1
S1,3,79,2021329154,1
S1,3,80,951893531,1
S1,3,81,107738194,2
S1,3,82,558535989,1
S1,3,83,135639490,1
S1,3,84,192948214,1
S1,3,85,639580320,1
S1,3,86,17443545,1
S1,3,87,2137305699,1
S1,3,88,272603813,1
S1,3,89,231894274,1
S1,3,90,1972967255,1
S1,3,91,1573385771,1
S1,3,92,765722034,1
S1,3,93,249350063,1
S1,3,94,1644374091,2
S1,3,95,1564547135,1
S1,3,96,842589062,1
S1,3,97,1064929368,1
S1,3,98,1005990106,1
S1,3,99,456935085,1
S1,3,100,1352685022,1
S1,3,101,1012619942,1
S1,3,102,1393713801,1
S1,3,103,778122748,1
S1,3,104,554352916,2
S1,3,105,800822947,1
S1,3,106,245079812,1
S1,3,107,329809461,1
S1,3,108,1867412714,2
S1,3,109,788380116,2
S1,3,110,54549187,1
S1,3,111,1076627680,1
S1,3,112,263490225,1
S1,3,113,99059577,2
S1,3,114,782383422,1
S1,3,115,1361816848,1
S1,3,116,159626864,1
S1,3,117,483939015,1
S1,3,118,797853495,2
S1,3,119,78460340,1
S1,3,120,721252348,1
S1,3,121,73447716,2
S1,3,122,260473741,1
S1,3,123,1387944185,1
S1,3,124,332040422,1
S1,3,125,1096803179,1
S1,3,126,163079723,2
S1,3,127,158951823,1
S1,3,128,764877167,1
