scenario,part,trial,seed,message,freq_hz,dt_s,reported_snr_db,signal_db,local_noise_db,reconstructed_snr_db
S1,0,208,373413675,CQ Q1ABC FN42,1500,0.32,-11,-40.696,-56,-11.196
S1,0,209,1707355261,CQ Q1ABC FN42,1500,0.4,-11,-41.291,-56.5,-11.291
S1,0,210,685597205,CQ Q1ABC FN42,1500,0.32,-11,-41.639,-57,-11.139
S1,0,211,2053312941,CQ Q1ABC FN42,1500,0.4,-11,-40.88,-56.5,-10.88
S1,0,212,814569041,CQ Q1ABC FN42,1500,0.32,-11,-40.905,-56.5,-10.905
S1,0,213,692549999,CQ Q1ABC FN42,1500,0.4,-11,-41.576,-57,-11.076
S1,0,213,692549999,PAS2/3PIW96 <2648HKJOI7Q> RRR,950,-0.88,-27,-57.185,-57,-26.685
S1,0,214,1851973904,CQ Q1ABC FN42,1500,0.32,-11,-41.481,-57,-10.981
S1,0,214,1851973904,48933A66E00399A195,1369,2.64,-26,-56.461,-56.5,-26.461
S1,0,215,1728442186,CQ Q1ABC FN42,1500,0.4,-11,-41.133,-56.5,-11.133
S1,0,216,1142154578,CQ Q1ABC FN42,1500,0.4,-11,-41.272,-56.5,-11.272
S1,0,216,1142154578,<RDCTM766>/R <RDCTM651> F OQ60,2281,3.04,-26,-56,-57,-25.5
S1,0,217,417272405,CQ Q1ABC FN42,1500,0.32,-11,-41.291,-56.5,-11.291
S1,0,218,1095173629,CQ Q1ABC FN42,1500,0.32,-11,-41.696,-57,-11.196
S1,0,219,1631592692,CQ Q1ABC FN42,1500,0.4,-11,-41.791,-57.5,-10.791
S1,0,220,882891859,CQ Q1ABC FN42,1500,0.4,-11,-41.671,-57,-11.171
S1,0,221,1020818018,CQ Q1ABC FN42,1500,0.4,-11,-40.949,-56.5,-10.949
S1,0,222,1291389670,CQ Q1ABC FN42,1500,0.4,-11,-41.551,-57,-11.051
S1,0,222,1291389670,<RDCTM730>/R <RDCTM251>/R HC05,1488,2.8,-23,-53.809,-57,-23.309
S1,0,223,1537509095,CQ Q1ABC FN42,1500,0.32,-11,-41.437,-56.5,-11.437
S1,0,224,2045378894,CQ Q1ABC FN42,1500,0.4,-11,-41.475,-57,-10.975
S1,0,224,2045378894,I9DTI6UH734OG,1503,0.4,-21,-51.905,-57,-21.405
S1,0,225,28644454,CQ Q1ABC FN42,1500,0.4,-11,-41.519,-57,-11.019
S1,0,225,28644454,<...> 2F8ZP1JGH0 73,1713,-0.8,-27,-57.426,-57,-26.926
S1,0,226,1357892997,CQ Q1ABC FN42,1500,0.4,-11,-41.443,-57,-10.943
S1,0,227,1110201886,CQ Q1ABC FN42,1500,0.4,-11,-41.671,-57,-11.171
S1,0,228,1456963191,CQ Q1ABC FN42,1500,0.32,-11,-40.747,-56,-11.247
S1,0,228,1456963191,<...> 796IOX R OH86,884,-0.88,-27,-57.37,-56.5,-27.37
S1,0,229,1962662161,CQ Q1ABC FN42,1500,0.4,-11,-41.956,-57.5,-10.956
S1,0,229,1962662161,CQ VGV  3XE9UEM R KM50,1988,-1.52,-28,-59.13,-57.5,-28.13
S1,0,229,1962662161,CQ <...>,2175,1.44,-27,-57.747,-57.5,-26.747
S1,1,0,1915168523,CQ Q1ABC FN42,1500,0.32,-7,-37.835,-57,-7.335
S1,1,1,1105300121,CQ Q1ABC FN42,1500,0.32,-7,-37.892,-57,-7.392
