cycle_stem,elapsed_s,lag_seconds,lag_seconds_subsample,peak_corr
260730_065030,44280,-2.38233,-2.38233,0.9875
260730_065415,44505,-2.38233,-2.38233,0.9830
260730_065800,44730,-2.42233,-2.42233,0.9832
260730_070145,44955,-2.42233,-2.42233,0.9781
260730_070530,45180,-2.42233,-2.42233,0.9920
260730_070915,45405,-2.42233,-2.42233,0.9876
260730_071315,45645,-2.44233,-2.44233,0.9859
260730_071700,45870,-2.44233,-2.44233,0.9832
260730_072045,46095,-2.48233,-2.48233,0.9747
260730_072430,46320,-2.48233,-2.48233,0.9949
260730_072815,46545,-2.48233,-2.48233,0.9822
260730_073200,46770,-2.48233,-2.48233,0.9974
260730_073545,46995,-2.52233,-2.52233,0.9765
260730_073930,47220,-2.52233,-2.52233,0.9833
260730_074315,47445,-2.52233,-2.52233,0.9764
260730_074700,47670,-2.56233,-2.56233,0.9983
260730_075045,47895,-2.56233,-2.56233,0.9867
260730_075430,48120,-2.56233,-2.56233,0.9794
260730_075815,48345,-2.56233,-2.56233,0.9865
260730_080215,48585,-2.59233,-2.59233,0.9895
260730_080600,48810,-2.59233,-2.59233,0.9839
260730_080945,49035,-2.59233,-2.59233,0.9938
260730_081330,49260,-2.63233,-2.63233,0.9774
260730_081715,49485,-2.63233,-2.63233,0.9974
260730_082100,49710,-2.63233,-2.63233,0.9902
260730_082445,49935,-2.63233,-2.63233,0.9894
260730_082830,50160,-2.67233,-2.67233,0.9880
260730_083215,50385,-2.67233,-2.67233,0.9867
260730_083600,50610,-2.67233,-2.67233,0.9826
260730_083945,50835,-2.71233,-2.71233,0.9866
260730_084330,51060,-2.71233,-2.71233,0.9904
260730_084715,51285,-2.71233,-2.71233,0.9826
260730_085100,51510,-2.71233,-2.71233,0.9873
260730_085500,51750,-2.73233,-2.73233,0.9778
260730_085845,51975,-2.73233,-2.73233,0.9901
260730_090230,52200,-2.77233,-2.77233,0.9750
260730_090615,52425,-2.77233,-2.77233,0.9741
260730_091000,52650,-2.77233,-2.77233,0.9890
260730_091415,52905,-2.80233,-2.80233,0.9875
260730_091800,53130,-2.80233,-2.80233,0.9746
260730_092145,53355,-2.84233,-2.84232,0.9789
260730_092530,53580,-2.84233,-2.84233,0.9853
260730_092915,53805,-2.84233,-2.84233,0.9856
260730_093300,54030,-2.84233,-2.84233,0.9872
260730_093645,54255,-2.88233,-2.88233,0.9809
260730_094030,54480,-2.88233,-2.88233,0.9865
260730_094415,54705,-2.88233,-2.88233,0.9794
260730_094800,54930,-2.88233,-2.88233,0.9829
260730_095145,55155,-2.92233,-2.92233,0.9922
260730_095530,55380,-2.92233,-2.92233,0.9961
260730_095915,55605,-2.92233,-2.92233,0.9521
260730_100300,55830,-2.96233,-2.96233,0.9844
260730_100645,56055,-2.96233,-2.96233,0.9681
260730_101030,56280,-2.96233,-2.96233,0.9743
260730_101415,56505,-2.96233,-2.96233,0.9972
260730_101800,56730,-3.00233,-3.00233,0.9879
260730_102145,56955,-3.00233,-3.00233,0.9729
260730_102530,57180,-3.00233,-3.00233,0.9977
260730_102915,57405,-3.00233,-3.00233,0.9758
260730_103300,57630,-3.04233,-3.04233,0.9996
260730_103645,57855,-3.04233,-3.04233,0.9971
260730_104030,58080,-3.04233,-3.04233,0.9781
260730_104415,58305,-3.04233,-3.04233,0.9926
260730_104800,58530,-3.08233,-3.08233,0.9965
260730_105145,58755,-3.08233,-3.08233,0.9864
260730_105530,58980,-3.08233,-3.08233,0.9897
260730_105915,59205,-3.12233,-3.12233,0.9962
260730_110300,59430,-3.12233,-3.12233,0.9699
260730_110645,59655,-3.12233,-3.12233,0.9728
260730_111030,59880,-3.12233,-3.12233,0.9747
260730_111415,60105,-3.16233,-3.16233,0.9932
260730_111800,60330,-3.16233,-3.16233,0.9762
260730_112145,60555,-3.16233,-3.16233,0.9752
260730_112530,60780,-3.16233,-3.16233,0.9863
260730_112915,61005,-3.20233,-3.20233,0.9777
260730_113300,61230,-3.20233,-3.20233,0.9955
260730_113645,61455,-3.20233,-3.20233,0.9707
260730_114030,61680,-3.24233,-3.24233,0.9996
260730_114415,61905,-3.24233,-3.24233,0.9960
260730_114800,62130,-3.24233,-3.24233,0.9872
260730_115145,62355,-3.24233,-3.24233,0.9938
260730_115530,62580,-3.28233,-3.28233,0.9711
260730_115915,62805,-3.28233,-3.28233,0.9616
260730_120300,63030,-3.28233,-3.28233,0.9855
260730_120645,63255,-3.28233,-3.28233,0.9534
260730_121030,63480,-3.32233,-3.32233,0.9765
260730_121415,63705,-3.32233,-3.32233,0.9800
260730_121800,63930,-3.32233,-3.32233,0.9983
260730_122145,64155,-3.36233,-3.36233,0.9975
260730_122530,64380,-3.36233,-3.36233,0.9988
260730_122915,64605,-3.36233,-3.36232,0.9526
260730_123300,64830,-3.36233,-3.36233,0.9983
260730_123645,65055,-3.40233,-3.40233,0.9913
260730_124030,65280,-3.40233,-3.40233,0.9953
260730_124415,65505,-3.40233,-3.40233,0.9989
260730_124800,65730,-3.40233,-3.40233,0.9954
260730_125145,65955,-3.44233,-3.44233,0.9971
260730_125530,66180,-3.44233,-3.44233,0.9942
260730_125915,66405,-3.44233,-3.44233,0.9956
260730_130300,66630,-3.48233,-3.48233,0.9891
260730_130645,66855,-3.48233,-3.48233,0.9758
260730_131030,67080,-3.48233,-3.48233,0.9899
260730_131415,67305,-3.48233,-3.48233,0.9766
260730_131800,67530,-3.52233,-3.52233,0.9841
260730_132145,67755,-3.52233,-3.52233,0.9898
260730_132530,67980,-3.52233,-3.52233,0.9842
260730_132915,68205,-3.52233,-3.52233,0.9819
260730_133300,68430,-3.56233,-3.56233,0.9952
260730_133645,68655,-3.56233,-3.56233,0.9839
260730_134030,68880,-3.56233,-3.56233,0.9847
260730_134415,69105,-3.56233,-3.56233,0.9860
260730_134800,69330,-3.60233,-3.60233,0.9791
260730_135145,69555,-3.60233,-3.60233,0.9886
260730_135530,69780,-3.60233,-3.60233,0.9948
260730_135915,70005,-3.64233,-3.64233,0.9906
260730_140300,70230,-3.64233,-3.64233,0.9936
260730_140645,70455,-3.64233,-3.64233,0.9936
260730_141030,70680,-3.64233,-3.64233,0.9952
260730_141415,70905,-3.68233,-3.68233,0.9858
260730_141800,71130,-3.68233,-3.68233,0.9849
260730_142145,71355,-3.68233,-3.68233,0.9894
260730_142530,71580,-3.72233,-3.72233,0.9836
260730_142915,71805,-3.72233,-3.72233,0.9883
260730_143300,72030,-3.72233,-3.72233,0.9857
260730_143645,72255,-3.72233,-3.72233,0.9813
260730_144030,72480,-3.76233,-3.76233,0.9753
260730_144415,72705,-3.76233,-3.76232,0.9729
260730_144800,72930,-3.76233,-3.76233,0.9902
260730_145145,73155,-3.80233,-3.80233,0.9848
260730_145530,73380,-3.80233,-3.80233,0.9919
260730_145915,73605,-3.80233,-3.80233,0.9866
260730_150300,73830,-3.80233,-3.80233,0.9870
260730_150645,74055,-3.84233,-3.84233,0.9781
260730_151030,74280,-3.84233,-3.84233,0.9911
260730_151415,74505,-3.84233,-3.84233,0.9927
260730_151800,74730,-3.84233,-3.84233,0.9874
260730_152145,74955,-3.88233,-3.88233,0.9830
260730_152530,75180,-3.88233,-3.88233,0.9812
260730_152915,75405,-3.88233,-3.88233,0.9800
260730_153300,75630,-3.92233,-3.92233,0.9884
